image_id,competitor_product_id,url,source_page,publisher,match_state,retrieved_at,source_id
cimg-surepetcare-felaqua-connect-0,surepetcare-felaqua-connect,https://media.surepetcare.com/website/images/felaqua/Felaqua_EN_500x512.png,https://www.surepetcare.com/en-gb/felaqua-connect,Sure Petcare,VERIFIED_EXACT,2026-08-27,src-img-rest-surepetcare-felaqua-connect
cimg-catit-pixi-fountain-0,catit-pixi-fountain,https://catit.co.uk/cdn/shop/files/43716-Catit-PIXI-Fountain-Pink-Panel-Image-1.jpg?v=1776347649&width=1946,https://catit.co.uk/products/catit-pixi-fountain-4-colour-options,Catit,VERIFIED_EXACT,2026-08-27,src-img-rest-catit-pixi-fountain
cimg-ring-doorbell-plus-2ndgen-0,ring-doorbell-plus-2ndgen,https://images.ctfassets.net/2xsswpd01u70/55Q21pOpg4MWNIKT4il0vA/18fbb90e047d9b9358dcd36b8eda5a08/1_Slate_Moonlight_Front.jpg,https://ring.com/eu/en/products/battery-doorbell-plus-2nd-gen,Ring,VERIFIED_EXACT,2026-08-27,src-img-rest-ring-doorbell-plus-2ndgen
cimg-eufy-doorbell-e340-0,eufy-doorbell-e340,https://cdn.shopify.com/s/files/1/0504/7094/4954/files/T8214.png?v=1755066896&width=1920,https://www.eufy.com/products/t8214111,eufy,VERIFIED_EXACT,2026-08-27,src-img-rest-eufy-doorbell-e340
cimg-eufy-indoor-cam-c220-0,eufy-indoor-cam-c220,https://cdn.shopify.com/s/files/1/0555/1167/9128/files/Tw811c_ID_KVAngle.png?v=1714267459&width=1920,https://www.eufy.com/eu-en/products/t8w11321,eufy,VERIFIED_EXACT,2026-08-27,src-img-rest-eufy-indoor-cam-c220
cimg-ezviz-db1c-0,ezviz-db1c,https://mfs.ezvizlife.com/61a679999f9d5f2d1b94eae9504de1b1.jpg,https://www.ezviz.com/us/product/db1c/16996,EZVIZ,VERIFIED_EXACT,2026-08-27,src-img-rest-ezviz-db1c
cimg-ecovacs-goat-a3000-0,ecovacs-goat-a3000,"https://site-static.ecovacs.com/upload/nl/image/product/2026/02/13/070644_7287$id-goat-a3000-lidar-pro-920x920-1.png?x-oss-process=image/format,webp",https://www.ecovacs.com/nl/shop/goat-robotic-lawn-mower/goat-a3000-lidar-pro,Ecovacs,VERIFIED_EXACT,2026-08-27,src-img-rest-ecovacs-goat-a3000
cimg-worx-landroid-m-0,worx-landroid-m,"https://www.worx.com/media/catalog/product/w/r/wr147-carousel-image-newest-1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=780&width=780&canvas=780:780",https://www.worx.com/landroid-m-1-4-acre-20v-cordless-robotic-lawn-mower-wr147.html,Worx,VERIFIED_EXACT,2026-08-27,src-img-rest-worx-landroid-m
cimg-britania-humidifier-bud05b-0,britania-humidifier-bud05b,https://philco.vtexassets.com/arquivos/ids/272788-800-800?v=638995877288430000&width=800&height=800&aspect=true,https://www.britania.com.br/umidificador-britania-bud05b-24l/p,Britânia,VERIFIED_EXACT,2026-08-27,src-img-rest-britania-humidifier-bud05b
cimg-cadence-fan-vtr420-0,cadence-fan-vtr420,https://jcsbrasil.vteximg.com.br/arquivos/ids/238308-1000-1000/VTR420.1.jpg?v=639060030194870000,https://www.cadence.com.br/ventilador-cadence-refresh-turbo-pro/p,Cadence,VERIFIED_EXACT,2026-08-27,src-img-rest-cadence-fan-vtr420
